week,team_id,team_name,score,season
16,2,Joe Buck Yourself,81.76,2022
16,6,The Cousin Lovers,60.1,2022
16,3,Brokaw's Bums,79.84,2022
16,9,Lambeau Leapers,107.8,2022
17,4,Simps Squad,152.08,2022
17,10,Starting Defense,106.18,2022
17,1,Hingle McCringlebery,94.1,2022
17,2,Joe Buck Yourself,87.0,2022
17,5,The Roethlisberger's,118.3,2022
17,7,Talladega Knights,91.9,2022
17,6,The Cousin Lovers,68.18,2022
17,8,Jackson's Team,121.02,2022
1,1,Hingle McCringlebery,104.32,2023
1,5,Joe Buck Yourself,87.96,2023
1,2,Jackson's Team,95.9,2023
1,9,Talladega Knights,118.56,2023
1,3,Simps Squad,119.74,2023
1,6,Brokaw's Bums,97.78,2023
1,4,The Roethlisberger's,84.64,2023
1,8,The Cousin Lovers,92.64,2023
1,7,Lambeau Leapers,138.04,2023
1,10,Starting Defense,145.24,2023
2,1,Hingle McCringlebery,147.34,2023
2,4,The Roethlisberger's,129.14,2023
2,2,Jackson's Team,132.42,2023
2,10,Starting Defense,103.4,2023
2,3,Simps Squad,100.24,2023
2,7,Lambeau Leapers,95.46,2023
2,5,Joe Buck Yourself,135.68,2023
2,9,Talladega Knights,144.1,2023
2,6,Brokaw's Bums,87.98,2023
2,8,The Cousin Lovers,127.66,2023
3,1,Hingle McCringlebery,173.68,2023
3,6,Brokaw's Bums,119.86,2023
3,2,Jackson's Team,129.08,2023
3,3,Simps Squad,114.46,2023
3,4,The Roethlisberger's,110.36,2023
3,5,Joe Buck Yourself,137.38,2023
3,7,Lambeau Leapers,119.86,2023
3,8,The Cousin Lovers,101.62,2023
3,9,Talladega Knights,161.9,2023
3,10,Starting Defense,114.48,2023
4,1,Hingle McCringlebery,134.9,2023
4,7,Lambeau Leapers,86.48,2023
4,2,Jackson's Team,77.16,2023
4,8,The Cousin Lovers,88.34,2023
4,3,Simps Squad,158.28,2023
4,9,Talladega Knights,99.78,2023
4,4,The Roethlisberger's,140.3,2023
4,6,Brokaw's Bums,146.9,2023
4,5,Joe Buck Yourself,139.24,2023
4,10,Starting Defense,109.62,2023
5,1,Hingle McCringlebery,105.82,2023
5,2,Jackson's Team,111.12,2023
5,3,Simps Squad,103.8,2023
5,10,Starting Defense,89.74,2023
5,4,The Roethlisberger's,108.28,2023
5,7,Lambeau Leapers,129.32,2023
5,5,Joe Buck Yourself,170.14,2023
5,6,Brokaw's Bums,183.76,2023
5,8,The Cousin Lovers,103.46,2023
5,9,Talladega Knights,99.34,2023
6,1,Hingle McCringlebery,99.94,2023
6,9,Talladega Knights,89.68,2023
6,2,Jackson's Team,128.9,2023
6,4,The Roethlisberger's,110.02,2023
6,3,Simps Squad,94.84,2023
6,5,Joe Buck Yourself,138.32,2023
6,6,Brokaw's Bums,128.66,2023
6,7,Lambeau Leapers,112.18,2023
6,8,The Cousin Lovers,111.74,2023
6,10,Starting Defense,107.94,2023
7,1,Hingle McCringlebery,149.54,2023
7,10,Starting Defense,153.66,2023
7,2,Jackson's Team,123.46,2023
7,6,Brokaw's Bums,144.7,2023
7,3,Simps Squad,121.16,2023
7,8,The Cousin Lovers,103.86,2023
7,4,The Roethlisberger's,87.68,2023
7,9,Talladega Knights,71.46,2023
7,5,Joe Buck Yourself,148.78,2023
7,7,Lambeau Leapers,82.04,2023
8,1,Hingle McCringlebery,131.98,2023
8,3,Simps Squad,144.18,2023
8,2,Jackson's Team,159.56,2023
8,7,Lambeau Leapers,107.56,2023
8,4,The Roethlisberger's,146.6,2023
8,10,Starting Defense,112.5,2023
8,5,Joe Buck Yourself,110.18,2023
8,8,The Cousin Lovers,117.38,2023
8,6,Brokaw's Bums,146.46,2023
8,9,Talladega Knights,84.42,2023
9,1,Hingle McCringlebery,112.76,2023
9,8,The Cousin Lovers,114.7,2023
9,2,Jackson's Team,132.18,2023
9,5,Joe Buck Yourself,84.08,2023
9,3,Simps Squad,132.84,2023
9,4,The Roethlisberger's,142.1,2023
9,6,Brokaw's Bums,77.62,2023
9,10,Starting Defense,125.0,2023
9,7,Lambeau Leapers,76.72,2023
9,9,Talladega Knights,141.44,2023
10,1,Hingle McCringlebery,190.16,2023
10,5,Joe Buck Yourself,130.12,2023
10,2,Jackson's Team,117.76,2023
10,9,Talladega Knights,98.82,2023
10,3,Simps Squad,95.1,2023
10,6,Brokaw's Bums,121.18,2023
10,4,The Roethlisberger's,123.44,2023
10,8,The Cousin Lovers,117.02,2023
10,7,Lambeau Leapers,112.86,2023
10,10,Starting Defense,108.42,2023
11,1,Hingle McCringlebery,127.26,2023
11,4,The Roethlisberger's,107.84,2023
11,2,Jackson's Team,131.0,2023
11,10,Starting Defense,125.28,2023
11,3,Simps Squad,112.68,2023
11,7,Lambeau Leapers,130.8,2023
11,5,Joe Buck Yourself,128.6,2023
11,9,Talladega Knights,108.96,2023
11,6,Brokaw's Bums,132.1,2023
11,8,The Cousin Lovers,83.84,2023
12,1,Hingle McCringlebery,155.04,2023
12,6,Brokaw's Bums,141.16,2023
12,2,Jackson's Team,128.0,2023
12,3,Simps Squad,107.26,2023
12,4,The Roethlisberger's,139.76,2023
12,5,Joe Buck Yourself,108.88,2023
12,7,Lambeau Leapers,126.12,2023
12,8,The Cousin Lovers,110.9,2023
12,9,Talladega Knights,99.68,2023
12,10,Starting Defense,93.82,2023
13,1,Hingle McCringlebery,195.06,2023
13,7,Lambeau Leapers,124.9,2023
13,2,Jackson's Team,150.02,2023
13,8,The Cousin Lovers,118.48,2023
13,3,Simps Squad,85.12,2023
13,9,Talladega Knights,102.94,2023
13,4,The Roethlisberger's,124.76,2023
13,6,Brokaw's Bums,113.94,2023
13,5,Joe Buck Yourself,125.18,2023
13,10,Starting Defense,89.5,2023
14,1,Hingle McCringlebery,107.64,2023
14,2,Jackson's Team,143.08,2023
14,3,Simps Squad,107.16,2023
14,10,Starting Defense,117.44,2023
14,4,The Roethlisberger's,145.02,2023
14,7,Lambeau Leapers,95.6,2023
14,5,Joe Buck Yourself,125.74,2023
14,6,Brokaw's Bums,114.62,2023
14,8,The Cousin Lovers,98.62,2023
14,9,Talladega Knights,138.74,2023
15,4,The Roethlisberger's,122.38,2023
15,6,Brokaw's Bums,153.66,2023
15,5,Joe Buck Yourself,86.12,2023
15,9,Talladega Knights,111.44,2023
16,1,Hingle McCringlebery,124.42,2023
16,9,Talladega Knights,134.68,2023
16,2,Jackson's Team,125.44,2023
16,6,Brokaw's Bums,100.98,2023
16,3,Simps Squad,101.64,2023
16,7,Lambeau Leapers,90.52,2023
16,4,The Roethlisberger's,142.1,2023
16,5,Joe Buck Yourself,140.72,2023
16,8,The Cousin Lovers,113.72,2023
16,10,Starting Defense,110.0,2023
17,2,Jackson's Team,157.88,2023
17,9,Talladega Knights,146.34,2023
17,1,Hingle McCringlebery,115.1,2023
17,6,Brokaw's Bums,134.36,2023
17,3,Simps Squad,90.24,2023
17,8,The Cousin Lovers,125.44,2023
17,7,Lambeau Leapers,118.28,2023
17,10,Starting Defense,117.2,2023
1,1,Hingle McCringlebery,111.42,2024
1,4,The Roethlisberger's,110.78,2024
1,2,Jackson's Team,154.98,2024
1,3,Simps Squad,128.42,2024
1,5,Joe Buck Yourself,97.36,2024
1,9,Talladega Knights,93.64,2024
1,6,Brokaw's Bums,142.52,2024
1,8,The Cousin Lovers,144.08,2024
1,7,Lambeau Leapers,136.8,2024
1,10,Starting Defense,88.36,2024
2,1,Hingle McCringlebery,147.32,2024
2,10,Starting Defense,116.52,2024
2,2,Jackson's Team,115.16,2024
2,6,Brokaw's Bums,106.78,2024
2,3,Simps Squad,116.2,2024
2,9,Talladega Knights,145.14,2024
2,4,The Roethlisberger's,140.66,2024
2,5,Joe Buck Yourself,123.8,2024
2,7,Lambeau Leapers,135.84,2024
2,8,The Cousin Lovers,93.62,2024
3,1,Hingle McCringlebery,100.14,2024
3,7,Lambeau Leapers,124.04,2024
3,2,Jackson's Team,153.32,2024
3,8,The Cousin Lovers,79.74,2024
3,3,Simps Squad,112.18,2024
3,4,The Roethlisberger's,101.28,2024
3,5,Joe Buck Yourself,110.8,2024
3,10,Starting Defense,119.96,2024
3,6,Brokaw's Bums,106.68,2024
3,9,Talladega Knights,140.58,2024
4,1,Hingle McCringlebery,64.42,2024
4,8,The Cousin Lovers,99.14,2024
4,2,Jackson's Team,146.8,2024
4,9,Talladega Knights,86.5,2024
4,3,Simps Squad,123.48,2024
4,10,Starting Defense,131.08,2024
4,4,The Roethlisberger's,95.52,2024
4,6,Brokaw's Bums,145.44,2024
4,5,Joe Buck Yourself,139.18,2024
4,7,Lambeau Leapers,171.36,2024
5,1,Hingle McCringlebery,105.34,2024
5,5,Joe Buck Yourself,118.04,2024
5,2,Jackson's Team,90.94,2024
5,4,The Roethlisberger's,93.52,2024
5,3,Simps Squad,136.4,2024
5,7,Lambeau Leapers,142.16,2024
5,6,Brokaw's Bums,136.22,2024
5,10,Starting Defense,154.98,2024
5,8,The Cousin Lovers,158.9,2024
5,9,Talladega Knights,142.54,2024
6,1,Hingle McCringlebery,105.86,2024
6,3,Simps Squad,111.06,2024
6,2,Jackson's Team,147.0,2024
6,10,Starting Defense,106.42,2024
6,4,The Roethlisberger's,124.06,2024
6,9,Talladega Knights,150.8,2024
6,5,Joe Buck Yourself,110.68,2024
6,8,The Cousin Lovers,96.12,2024
6,6,Brokaw's Bums,111.42,2024
6,7,Lambeau Leapers,137.92,2024
7,1,Hingle McCringlebery,118.96,2024
7,6,Brokaw's Bums,130.44,2024
7,2,Jackson's Team,134.22,2024
7,7,Lambeau Leapers,101.4,2024
7,3,Simps Squad,143.0,2024
7,5,Joe Buck Yourself,130.84,2024
7,4,The Roethlisberger's,52.94,2024
7,8,The Cousin Lovers,118.7,2024
7,9,Talladega Knights,129.36,2024
7,10,Starting Defense,117.84,2024
8,1,Hingle McCringlebery,157.34,2024
8,2,Jackson's Team,163.94,2024
8,3,Simps Squad,150.58,2024
8,8,The Cousin Lovers,109.5,2024
8,4,The Roethlisberger's,136.32,2024
8,10,Starting Defense,135.46,2024
8,5,Joe Buck Yourself,110.7,2024
8,6,Brokaw's Bums,146.86,2024
8,7,Lambeau Leapers,112.84,2024
8,9,Talladega Knights,80.58,2024
9,1,Hingle McCringlebery,183.7,2024
9,9,Talladega Knights,151.04,2024
9,2,Jackson's Team,121.4,2024
9,5,Joe Buck Yourself,135.06,2024
9,3,Simps Squad,122.66,2024
9,6,Brokaw's Bums,106.1,2024
9,4,The Roethlisberger's,109.96,2024
9,7,Lambeau Leapers,102.32,2024
9,8,The Cousin Lovers,117.8,2024
9,10,Starting Defense,137.74,2024
10,1,Hingle McCringlebery,132.48,2024
10,4,The Roethlisberger's,140.64,2024
10,2,Jackson's Team,88.1,2024
10,3,Simps Squad,122.14,2024
10,5,Joe Buck Yourself,82.32,2024
10,9,Talladega Knights,101.24,2024
10,6,Brokaw's Bums,99.2,2024
10,8,The Cousin Lovers,106.94,2024
10,7,Lambeau Leapers,154.26,2024
10,10,Starting Defense,118.52,2024
11,1,Hingle McCringlebery,159.04,2024
11,10,Starting Defense,120.44,2024
11,2,Jackson's Team,157.18,2024
11,6,Brokaw's Bums,97.18,2024
11,3,Simps Squad,103.28,2024
11,9,Talladega Knights,130.54,2024
11,4,The Roethlisberger's,91.8,2024
11,5,Joe Buck Yourself,175.3,2024
11,7,Lambeau Leapers,108.54,2024
11,8,The Cousin Lovers,109.94,2024
12,1,Hingle McCringlebery,132.66,2024
12,7,Lambeau Leapers,148.52,2024
12,2,Jackson's Team,115.78,2024
12,8,The Cousin Lovers,168.36,2024
12,3,Simps Squad,107.52,2024
12,4,The Roethlisberger's,97.3,2024
12,5,Joe Buck Yourself,94.36,2024
12,10,Starting Defense,106.4,2024
12,6,Brokaw's Bums,110.08,2024
12,9,Talladega Knights,137.46,2024
13,1,Hingle McCringlebery,153.52,2024
13,8,The Cousin Lovers,95.0,2024
13,2,Jackson's Team,137.52,2024
13,9,Talladega Knights,123.24,2024
13,3,Simps Squad,113.0,2024
13,10,Starting Defense,134.04,2024
13,4,The Roethlisberger's,151.24,2024
13,6,Brokaw's Bums,147.48,2024
13,5,Joe Buck Yourself,146.08,2024
13,7,Lambeau Leapers,111.06,2024
14,1,Hingle McCringlebery,124.82,2024
14,5,Joe Buck Yourself,129.18,2024
14,2,Jackson's Team,203.68,2024
14,4,The Roethlisberger's,81.72,2024
14,3,Simps Squad,112.96,2024
14,7,Lambeau Leapers,156.34,2024
14,6,Brokaw's Bums,122.82,2024
14,10,Starting Defense,165.66,2024
14,8,The Cousin Lovers,122.68,2024
14,9,Talladega Knights,119.8,2024
15,5,Joe Buck Yourself,140.34,2024
15,8,The Cousin Lovers,93.74,2024
15,9,Talladega Knights,99.06,2024
15,10,Starting Defense,156.14,2024
16,2,Jackson's Team,121.06,2024
16,10,Starting Defense,146.58,2024
16,5,Joe Buck Yourself,137.04,2024
16,7,Lambeau Leapers,161.28,2024
16,1,Hingle McCringlebery,124.64,2024
16,4,The Roethlisberger's,181.92,2024
16,3,Simps Squad,128.58,2024
16,6,Brokaw's Bums,113.28,2024
16,8,The Cousin Lovers,144.42,2024
16,9,Talladega Knights,138.4,2024
17,7,Lambeau Leapers,143.0,2024
17,10,Starting Defense,156.58,2024
17,1,Hingle McCringlebery,125.42,2024
17,6,Brokaw's Bums,118.92,2024
17,2,Jackson's Team,113.18,2024
17,5,Joe Buck Yourself,124.66,2024
17,3,Simps Squad,124.66,2024
17,4,The Roethlisberger's,166.48,2024
1,1,Shock the Nation,85.32,2014
1,2,The Football Team,123.06,2014
1,3,Joe Buck Yourself,70.26,2014
1,7,Cade's Cool Team,122.14,2014
1,4,xXThe Poon KillersXx,68.18,2014
1,6,Lambeau Leapers,106.44,2014
1,5,The Benchwarmers,86.66,2014
1,8,clay's Team,64.52,2014
2,1,Shock the Nation,93.34,2014
2,3,Joe Buck Yourself,116.54,2014
2,2,The Football Team,85.18,2014
2,8,clay's Team,59.88,2014
2,4,xXThe Poon KillersXx,111.24,2014
2,7,Cade's Cool Team,82.44,2014
2,5,The Benchwarmers,109.26,2014
2,6,Lambeau Leapers,97.18,2014
3,1,Shock the Nation,88.6,2014
3,4,xXThe Poon KillersXx,89.6,2014
3,2,The Football Team,121.44,2014
3,3,Joe Buck Yourself,69.68,2014
3,5,The Benchwarmers,131.56,2014
3,7,Cade's Cool Team,67.04,2014
3,6,Lambeau Leapers,65.7,2014
3,8,clay's Team,54.62,2014
4,1,Shock the Nation,139.48,2014
4,5,The Benchwarmers,62.36,2014
4,2,The Football Team,94.2,2014
4,4,xXThe Poon KillersXx,58.8,2014
4,3,Joe Buck Yourself,111.58,2014
4,8,clay's Team,83.0,2014
4,6,Lambeau Leapers,51.72,2014
4,7,Cade's Cool Team,70.52,2014
5,1,Shock the Nation,115.1,2014
5,6,Lambeau Leapers,93.74,2014
5,2,The Football Team,69.56,2014
5,5,The Benchwarmers,129.26,2014
5,3,Joe Buck Yourself,107.44,2014
5,4,xXThe Poon KillersXx,90.48,2014
5,7,Cade's Cool Team,83.44,2014
5,8,clay's Team,78.64,2014
6,1,Shock the Nation,115.52,2014
6,7,Cade's Cool Team,83.2,2014
6,2,The Football Team,84.58,2014
6,6,Lambeau Leapers,97.94,2014
6,3,Joe Buck Yourself,123.36,2014
6,5,The Benchwarmers,110.14,2014
6,4,xXThe Poon KillersXx,43.12,2014
6,8,clay's Team,63.5,2014
7,1,Shock the Nation,121.7,2014
7,8,clay's Team,102.76,2014
7,2,The Football Team,97.84,2014
7,7,Cade's Cool Team,77.56,2014
7,3,Joe Buck Yourself,84.9,2014
7,6,Lambeau Leapers,74.52,2014
7,4,xXThe Poon KillersXx,54.3,2014
7,5,The Benchwarmers,59.3,2014
8,1,Shock the Nation,119.18,2014
8,2,The Football Team,107.44,2014
8,3,Joe Buck Yourself,84.22,2014
8,7,Cade's Cool Team,103.6,2014
8,4,xXThe Poon KillersXx,82.84,2014
8,6,Lambeau Leapers,64.86,2014
8,5,The Benchwarmers,125.58,2014
8,8,clay's Team,86.46,2014
9,1,Shock the Nation,62.02,2014
9,3,Joe Buck Yourself,102.42,2014
9,2,The Football Team,124.22,2014
9,8,clay's Team,67.5,2014
9,4,xXThe Poon KillersXx,51.46,2014
9,7,Cade's Cool Team,52.4,2014
9,5,The Benchwarmers,104.42,2014
9,6,Lambeau Leapers,86.26,2014
10,1,Shock the Nation,94.34,2014
10,4,xXThe Poon KillersXx,38.1,2014
10,2,The Football Team,89.7,2014
10,3,Joe Buck Yourself,124.4,2014
10,5,The Benchwarmers,88.68,2014
10,7,Cade's Cool Team,104.6,2014
10,6,Lambeau Leapers,101.78,2014
10,8,clay's Team,57.64,2014
11,1,Shock the Nation,82.12,2014
11,5,The Benchwarmers,69.7,2014
11,2,The Football Team,89.26,2014
11,4,xXThe Poon KillersXx,40.6,2014
11,3,Joe Buck Yourself,100.34,2014
11,8,clay's Team,61.5,2014
11,6,Lambeau Leapers,100.62,2014
11,7,Cade's Cool Team,69.42,2014
12,1,Shock the Nation,111.64,2014
12,6,Lambeau Leapers,74.34,2014
